카테고리,이름,구독자 수,조회수,영상 수
[음식/요리/레시피],산적TV 밥굽남,136만,2억7768만,534
[TV/방송],Mera,136만,11억8489만,"7,536"
[BJ/인물/연예인],JAYKEEOUT,136만,1억7955만,210
[키즈/어린이],티디키즈 by 지니키즈,135만,8억7207만,389
[미분류],식빵언니 김연경Bread Unnie,134만,7250만,54
[뉴스/정치/사회],세바시 강연 Sebasi Talk,133만,2억7795만,"1,983"
[TV/방송],BLACKHAND,132만,3억2182만,50
[뉴스/정치/사회],KBS News,132만,18억4453만,"176,159"
[BJ/인물/연예인],박막례 할머니 Korea Grandma,132만,3억9501만,428
[BJ/인물/연예인],신세경 sjkuksee,131만,4563만,33
[음악/댄스/가수],Apink (에이핑크),131만,3억5011만,624
[BJ/인물/연예인],꽈뚜룹,131만,3억9954만,720
[교육/강의],jannahkorea 잔나코리아,131만,1억1666만,414
[영화/만화/애니],CheezeFilm,130만,3억5485만,202
[키즈/어린이],뉴욕이랑 컬러,130만,4억6795만,506
[음악/댄스/가수],AOA (에이오에이),130만,6억7336만,194
[키즈/어린이],헬로카봇 - hello carbot official,129만,11억6990만,"1,133"
[취미/라이프],탱구TV,129만,4586만,27
[BJ/인물/연예인],정선호,129만,4억7076만,421
[TV/방송],dingo global DGG,128만,3억8608만,393
[키즈/어린이],깨비키즈 [KEBIKIDS],128만,13억9647만,"1,711"
[패션/미용],lamuqe,128만,1억1742만,270
[애완/반려동물],강형욱의 보듬TV - Dog Trainer Kang,128만,2억2550만,695
[TV/방송],딩고 스토리 / dingo story,128만,2억8349만,334
[음악/댄스/가수],GENIE MUSIC,127만,4억3188만,"3,926"
[취미/라이프],낄낄상회,126만,3억1747만,225
[음악/댄스/가수],선미 SUNMI,126만,2억4582만,147
[음악/댄스/가수],ONEUS,126만,1억8209만,334
[음악/댄스/가수],Prepix Dance Studio,126만,2억1808만,"3,883"
[음악/댄스/가수],RealVIXX,126만,3억6597만,724
[TV/방송],디스커버리 서바이벌 - Discovery Survival,126만,3억5026만,382
[교육/강의],체인지그라운드,126만,2억2985만,"3,079"
[TV/방송],Beginagain 비긴어게인,125만,4억7947만,880
[음악/댄스/가수],2PM,125만,3억5887만,410
[음악/댄스/가수],Dreamcatcher official,124만,3억1193만,367
[음식/요리/레시피],취미로 요리하는 남자 Yonam,124만,1억0227만,68
[게임],악어 유튜브,124만,13억7837만,"6,322"
[영화/만화/애니],김시선,124만,3억9053만,369
[스포츠/운동],Shoot for Love 슛포러브,124만,6억5788만,723
[TV/방송],피키픽처스 Piki Pictures,123만,4억4805만,569
[게임],우왁굳의 게임방송,122만,9억6747만,"7,267"
[애완/반려동물],크집사,122만,1억8566만,284
[음식/요리/레시피],파뿌리,122만,10억1409만,"1,325"
[BJ/인물/연예인],임영웅,121만,9억7123만,573
[교육/강의],seemile Korean 씨마일 한국어,121만,8942만,"1,104"
[TV/방송],14F 일사에프,121만,3억8281만,"2,230"
[TV/방송],놀면 뭐하니?,121만,4억2378만,578
[TV/방송],eaJ,121만,4771만,31
[음식/요리/레시피],스윗더미 . Sweet The MI,121만,1억1678만,318
[음악/댄스/가수],official A.C.E,121만,1억5829만,548
[BJ/인물/연예인],턱형 (GOD-TUK),120만,4억2360만,529
[뉴스/정치/사회],채널A 뉴스,120만,14억2934만,"60,862"
[게임],우주하마,120만,5억9431만,"1,794"
[교육/강의],Talk To Me In Korean,120만,5818만,"1,696"
[음식/요리/레시피],DICKHUNTER딕헌터🌶,120만,2억9675만,374
[패션/미용],다또아Daddoa,119만,9232만,185
[BJ/인물/연예인],Lia Kim,119만,6595만,53
[패션/미용],회사원A,119만,3억8652만,504
[취미/라이프],휘트니 whitney bae,119만,2억9976만,317
[게임],테스터훈 TesterHoon,119만,7억6715만,"2,299"
[BJ/인물/연예인],수상한녀석들,119만,2억4541만,167
[미분류],INTHESOOP_TV,117만,1865만,13
[음악/댄스/가수],SEVENTEEN Japan official Youtube,117만,1억8668만,107
[TV/방송],sNack!,117만,8억9943만,"1,857"
[음악/댄스/가수],TJ KARAOKE TJ 노래방 공식 유튜브채널,117만,13억1555만,"55,072"
[TV/방송],Coreaníssima 엘레나,117만,7675만,166
[음악/댄스/가수],MOVE Dance Studio 무브댄스학원,117만,2억3813만,"2,347"
[뉴스/정치/사회],사람사는세상노무현재단,117만,1억1769만,791
[TV/방송],달라스튜디오,116만,1억2845만,75
[영화/만화/애니],PLAYY ANI 플레이애니,116만,4억6741만,621
[BJ/인물/연예인],ondo온도,116만,1억1399만,169
[TV/방송],오분순삭,115만,11억6962만,"1,505"
[TV/방송],잼스터,115만,3억1841만,358
[TV/방송],CJ ENM,115만,17억4219만,"14,900"
[BJ/인물/연예인],소련여자 Soviet girl in Seoul,114만,1억5274만,99
[음악/댄스/가수],DaftTaengk,114만,6억6776만,"5,278"
[키즈/어린이],미니카 Minicar,114만,6억6345만,"1,649"
[TV/방송],그것이 알고싶다 공식계정,113만,2억8520만,512
[게임],침착맨,113만,6억7256만,"5,879"
[취미/라이프],Squash Clay 쪼물쪼물 클레이,113만,1억9406만,451
[BJ/인물/연예인],Cheri Hyeri 체리 혜리,113만,1억5621만,357
[교육/강의],조승연의 탐구생활,112만,7836만,193
[음식/요리/레시피],야식이,112만,3억9154만,"1,206"
[음악/댄스/가수],YGTAEYANG,112만,6029만,26
[TV/방송],티캐스트 tcast,112만,12억8096만,"9,317"
[음식/요리/레시피],우리의식탁 W TABLE,112만,8366만,346
[음식/요리/레시피],야식이,112만,3억9154만,"1,206"
[음식/요리/레시피],애주가TV참PD,112만,5억0584만,"1,090"
[애완/반려동물],haha ha,112만,3억7365만,413
[음악/댄스/가수],CLC 씨엘씨 (Official YouTube Channel),111만,2억1486만,187
[TV/방송],오킹TV,111만,4억1742만,"1,209"
[영화/만화/애니],Tooniverse-투니버스,111만,7억8327만,"3,809"
[뉴스/정치/사회],TBS 시민의방송,111만,8억6881만,"34,585"
[음식/요리/레시피],맛있는 녀석들 (Tasty Guys),111만,12억0287만,"3,048"
[국내/해외/여행],코이티비KOITV,111만,7억1014만,"1,222"
[미분류],디글 :Diggle,110만,21억0249만,"12,796"
[TV/방송],KBS CoolFM,110만,5억3143만,"8,232"
[키즈/어린이],woojoo우주,110만,3억5862만,85
[게임],혜안,110만,3억9055만,747
[음식/요리/레시피],먹어볼래TryToEat,110만,1억5844만,193
[게임],릴카,110만,3억7848만,878
[미분류],SiriusXM,109만,7억0130만,"6,066"
